customer_id,customer_name,monthly_income,monthly_expenses,savings_balance,investment_balance,total_debt,payment_history_score,credit_utilization_ratio,credit_age_months,credit_score,risk_score,financial_health_score,loan_approved
SYN0001,Synthetic Customer 1,56556,29548,117727,6717,28410,0.97,0.88,35,612,5,70,1
SYN0002,Synthetic Customer 2,28825,11804,41071,19726,16095,0.9,0.2,119,680,4,70,1
SYN0003,Synthetic Customer 3,28746,13399,75148,425,55842,0.98,0.17,90,636,5,45,1
SYN0004,Synthetic Customer 4,56421,47768,32404,1519,361977,0.61,0.36,11,546,6,25,0
SYN0005,Synthetic Customer 5,23667,15197,69849,24807,30458,0.91,0.3,116,571,6,70,1
SYN0006,Synthetic Customer 6,26850,15390,77622,14935,2952,0.98,0.98,65,617,2,95,1
SYN0007,Synthetic Customer 7,149647,57373,522038,97040,196545,0.94,0.67,113,594,5,75,1
SYN0008,Synthetic Customer 8,94862,43659,197438,35382,157863,1.0,0.64,95,595,5,70,1
SYN0009,Synthetic Customer 9,74866,44716,148456,4207,194754,0.9,0.4,16,593,5,60,0
SYN0010,Synthetic Customer 10,38524,19046,106829,42129,36579,0.95,0.27,67,635,5,70,1
SYN0011,Synthetic Customer 11,32661,15638,85016,26175,70377,0.94,0.99,53,557,6,70,1
SYN0012,Synthetic Customer 12,31171,13318,40929,5242,8202,0.98,0.42,44,687,1,95,1
SYN0013,Synthetic Customer 13,400078,431590,44941,18128,1923090,0.86,0.02,7,534,6,5,0
SYN0014,Synthetic Customer 14,39604,19011,108447,28492,10602,0.92,0.01,69,729,1,95,1
SYN0015,Synthetic Customer 15,39967,18128,135500,39117,83500,0.98,0.51,61,606,5,75,1
SYN0016,Synthetic Customer 16,54504,39719,85619,34757,283587,0.93,0.6,43,549,6,60,0
SYN0017,Synthetic Customer 17,145153,81810,608771,30369,160691,0.92,0.57,34,584,5,75,1
SYN0018,Synthetic Customer 18,177399,96648,837455,65934,340205,0.91,0.48,94,602,5,75,1
SYN0019,Synthetic Customer 19,47370,31183,80143,35343,278142,0.89,0.69,57,555,6,60,1
SYN0020,Synthetic Customer 20,395779,408218,49162,7362,1654680,0.62,0.03,35,544,6,0,0
SYN0021,Synthetic Customer 21,68564,38811,49900,7501,320328,0.72,0.04,33,636,5,60,0
